"GEOID","FULL_NAME","tract","county","state","variable.x","Hispanic","moe.x","variable.y","White","moe.y","variable","Total","moe","Hispanic_Percent","White_Percent","category","Neighborhood_type","indicator_other"
06073017020,"Census Tract 170.20; San Diego County; California","Census Tract 170.20","San Diego"," California","B03002_012",210,94,"B03002_003",3007,470,"B03002_001",4094,470,5.12945774303859,73.4489496824621,"core","70+ NL White",NA
06073017021,"Census Tract 170.21; San Diego County; California","Census Tract 170.21","San Diego"," California","B03002_012",722,603,"B03002_003",2314,474,"B03002_001",3496,878,20.6521739130435,66.1899313501144,"core","Other",NA
06073017022,"Census Tract 170.22; San Diego County; California","Census Tract 170.22","San Diego"," California","B03002_012",488,344,"B03002_003",3602,449,"B03002_001",5310,568,9.19020715630885,67.834274952919,"core","Other",NA
06073017031,"Census Tract 170.31; San Diego County; California","Census Tract 170.31","San Diego"," California","B03002_012",742,271,"B03002_003",1957,261,"B03002_001",3607,249,20.5711117271971,54.2556140837261,"core","Other",NA
06073017033,"Census Tract 170.33; San Diego County; California","Census Tract 170.33","San Diego"," California","B03002_012",927,508,"B03002_003",2460,506,"B03002_001",5470,838,16.9469835466179,44.9725776965265,"core","Other",NA
06073017034,"Census Tract 170.34; San Diego County; California","Census Tract 170.34","San Diego"," California","B03002_012",607,142,"B03002_003",3121,910,"B03002_001",5484,908,11.0685630926331,56.9110138584974,"core","Other",NA
06073017035,"Census Tract 170.35; San Diego County; California","Census Tract 170.35","San Diego"," California","B03002_012",329,145,"B03002_003",1616,332,"B03002_001",3467,393,9.48947216613787,46.6109027978079,"core","Other",NA
06073017036,"Census Tract 170.36; San Diego County; California","Census Tract 170.36","San Diego"," California","B03002_012",588,316,"B03002_003",1538,329,"B03002_001",3130,367,18.7859424920128,49.1373801916933,"core","Other",NA
06073017037,"Census Tract 170.37; San Diego County; California","Census Tract 170.37","San Diego"," California","B03002_012",755,248,"B03002_003",2700,485,"B03002_001",5205,548,14.5052833813641,51.8731988472622,"core","Other",NA
06073017039,"Census Tract 170.39; San Diego County; California","Census Tract 170.39","San Diego"," California","B03002_012",357,200,"B03002_003",3914,856,"B03002_001",6788,891,5.25928108426635,57.6605774896877,"core","Other",NA
06073017040,"Census Tract 170.40; San Diego County; California","Census Tract 170.40","San Diego"," California","B03002_012",664,162,"B03002_003",2081,358,"B03002_001",4456,500,14.9012567324955,46.7010771992819,"core","Other",NA
06073017041,"Census Tract 170.41; San Diego County; California","Census Tract 170.41","San Diego"," California","B03002_012",856,218,"B03002_003",2923,439,"B03002_001",5564,500,15.3846153846154,52.5341480948958,"core","Other",NA
06073017043,"Census Tract 170.43; San Diego County; California","Census Tract 170.43","San Diego"," California","B03002_012",1016,371,"B03002_003",1816,443,"B03002_001",5925,844,17.1476793248945,30.6497890295359,"core","Other",NA
06073017044,"Census Tract 170.44; San Diego County; California","Census Tract 170.44","San Diego"," California","B03002_012",714,247,"B03002_003",2387,647,"B03002_001",5578,615,12.8002868411617,42.793115812119,"core","Other",NA
06073017045,"Census Tract 170.45; San Diego County; California","Census Tract 170.45","San Diego"," California","B03002_012",124,74,"B03002_003",999,124,"B03002_001",2298,181,5.39599651871192,43.4725848563969,"core","Other",NA
06073017046,"Census Tract 170.46; San Diego County; California","Census Tract 170.46","San Diego"," California","B03002_012",401,174,"B03002_003",1900,246,"B03002_001",3772,495,10.6309650053022,50.3711558854719,"core","Other",NA
06073017047,"Census Tract 170.47; San Diego County; California","Census Tract 170.47","San Diego"," California","B03002_012",425,234,"B03002_003",3175,549,"B03002_001",4487,579,9.47180744372632,70.7599732560731,"core","70+ NL White",NA
06073017048,"Census Tract 170.48; San Diego County; California","Census Tract 170.48","San Diego"," California","B03002_012",2003,561,"B03002_003",2694,448,"B03002_001",6181,639,32.4057595858275,43.5851803915224,"core","Other",NA
06073017049,"Census Tract 170.49; San Diego County; California","Census Tract 170.49","San Diego"," California","B03002_012",477,256,"B03002_003",1727,155,"B03002_001",2723,317,17.5174439955931,63.4226955563716,"core","Other",NA
06073017050,"Census Tract 170.50; San Diego County; California","Census Tract 170.50","San Diego"," California","B03002_012",755,333,"B03002_003",1542,386,"B03002_001",3129,519,24.1291147331416,49.28092042186,"core","Other",NA
06073017051,"Census Tract 170.51; San Diego County; California","Census Tract 170.51","San Diego"," California","B03002_012",415,261,"B03002_003",2645,587,"B03002_001",5070,731,8.18540433925049,52.1696252465483,"core","Other",NA
06073017052,"Census Tract 170.52; San Diego County; California","Census Tract 170.52","San Diego"," California","B03002_012",435,241,"B03002_003",1915,581,"B03002_001",4948,711,8.79143088116411,38.7025060630558,"core","Other",NA
06073017053,"Census Tract 170.53; San Diego County; California","Census Tract 170.53","San Diego"," California","B03002_012",248,174,"B03002_003",2742,397,"B03002_001",3558,396,6.97020798201237,77.0657672849916,"core","70+ NL White",NA
06073017054,"Census Tract 170.54; San Diego County; California","Census Tract 170.54","San Diego"," California","B03002_012",680,206,"B03002_003",3949,769,"B03002_001",5873,808,11.5784096713775,67.2399114592202,"core","Other",NA
06073017055,"Census Tract 170.55; San Diego County; California","Census Tract 170.55","San Diego"," California","B03002_012",282,165,"B03002_003",2472,389,"B03002_001",4933,567,5.71660247314008,50.1114940198662,"core","Other",NA
06073017056,"Census Tract 170.56; San Diego County; California","Census Tract 170.56","San Diego"," California","B03002_012",1130,442,"B03002_003",1820,376,"B03002_001",4534,519,24.9228054697839,40.1411557123952,"core","Other",NA
06073017057,"Census Tract 170.57; San Diego County; California","Census Tract 170.57","San Diego"," California","B03002_012",218,146,"B03002_003",2314,468,"B03002_001",3929,694,5.54848561975057,58.8953932298295,"core","Other",NA
06073017058,"Census Tract 170.58; San Diego County; California","Census Tract 170.58","San Diego"," California","B03002_012",996,429,"B03002_003",2342,559,"B03002_001",4302,764,23.1520223152022,54.4397954439795,"core","Other",NA
06073017059,"Census Tract 170.59; San Diego County; California","Census Tract 170.59","San Diego"," California","B03002_012",131,93,"B03002_003",3010,545,"B03002_001",3508,491,3.73432155074116,85.8038768529076,"core","70+ NL White",NA
06073017060,"Census Tract 170.60; San Diego County; California","Census Tract 170.60","San Diego"," California","B03002_012",317,340,"B03002_003",2099,524,"B03002_001",3273,715,9.68530400244424,64.1307668805377,"core","Other",NA
06073017061,"Census Tract 170.61; San Diego County; California","Census Tract 170.61","San Diego"," California","B03002_012",81,56,"B03002_003",2351,440,"B03002_001",3362,792,2.40928019036288,69.9286139202855,"core","Other",NA
06073017062,"Census Tract 170.62; San Diego County; California","Census Tract 170.62","San Diego"," California","B03002_012",501,315,"B03002_003",3779,864,"B03002_001",5184,866,9.66435185185185,72.8973765432099,"core","70+ NL White",NA
06073017063,"Census Tract 170.63; San Diego County; California","Census Tract 170.63","San Diego"," California","B03002_012",387,55,"B03002_003",3043,577,"B03002_001",4601,647,8.41121495327103,66.1377961312758,"core","Other",NA
06073017064,"Census Tract 170.64; San Diego County; California","Census Tract 170.64","San Diego"," California","B03002_012",186,174,"B03002_003",2890,2701,"B03002_001",8315,2807,2.23692122669874,34.7564642212868,"core","Other",NA
06073017065,"Census Tract 170.65; San Diego County; California","Census Tract 170.65","San Diego"," California","B03002_012",1042,501,"B03002_003",4774,1092,"B03002_001",9839,1825,10.5905071653623,48.5211911779652,"core","Other",NA
06073017066,"Census Tract 170.66; San Diego County; California","Census Tract 170.66","San Diego"," California","B03002_012",72,117,"B03002_003",3037,1081,"B03002_001",5303,796,1.35772204412597,57.2694701112578,"core","Other",NA
06073017067,"Census Tract 170.67; San Diego County; California","Census Tract 170.67","San Diego"," California","B03002_012",373,209,"B03002_003",1316,321,"B03002_001",2705,338,13.7892791127542,48.6506469500924,"core","Other",NA
06073017068,"Census Tract 170.68; San Diego County; California","Census Tract 170.68","San Diego"," California","B03002_012",628,219,"B03002_003",1693,258,"B03002_001",4694,657,13.3787814230933,36.067319982957,"core","Other",NA
06073017069,"Census Tract 170.69; San Diego County; California","Census Tract 170.69","San Diego"," California","B03002_012",168,186,"B03002_003",1321,342,"B03002_001",2519,402,6.66931321953156,52.4414450178642,"core","Other",NA
06073017070,"Census Tract 170.70; San Diego County; California","Census Tract 170.70","San Diego"," California","B03002_012",590,346,"B03002_003",1875,506,"B03002_001",5868,794,10.054533060668,31.9529652351738,"core","Other",NA
06073017071,"Census Tract 170.71; San Diego County; California","Census Tract 170.71","San Diego"," California","B03002_012",845,518,"B03002_003",1568,435,"B03002_001",5614,1298,15.0516565728536,27.930174563591,"core","Other",NA
06073017104,"Census Tract 171.04; San Diego County; California","Census Tract 171.04","San Diego"," California","B03002_012",532,231,"B03002_003",2984,421,"B03002_001",3752,430,14.1791044776119,79.5309168443497,"core","70+ NL White",NA
06073017106,"Census Tract 171.06; San Diego County; California","Census Tract 171.06","San Diego"," California","B03002_012",511,282,"B03002_003",3376,529,"B03002_001",4649,680,10.9916110991611,72.6177672617767,"core","70+ NL White",NA
06073017107,"Census Tract 171.07; San Diego County; California","Census Tract 171.07","San Diego"," California","B03002_012",330,272,"B03002_003",2170,343,"B03002_001",3062,509,10.7772697583279,70.8687132593077,"core","70+ NL White",NA
06073017108,"Census Tract 171.08; San Diego County; California","Census Tract 171.08","San Diego"," California","B03002_012",408,233,"B03002_003",3703,422,"B03002_001",4638,468,8.79689521345407,79.8404484691677,"core","70+ NL White",NA
06073017109,"Census Tract 171.09; San Diego County; California","Census Tract 171.09","San Diego"," California","B03002_012",849,477,"B03002_003",4645,748,"B03002_001",6350,623,13.3700787401575,73.1496062992126,"core","70+ NL White",NA
06073017111,"Census Tract 171.11; San Diego County; California","Census Tract 171.11","San Diego"," California","B03002_012",912,1171,"B03002_003",3333,471,"B03002_001",4637,1231,19.6678887211559,71.8783696355402,"core","70+ NL White",NA
06073017112,"Census Tract 171.12; San Diego County; California","Census Tract 171.12","San Diego"," California","B03002_012",508,261,"B03002_003",1736,342,"B03002_001",2408,340,21.0963455149502,72.0930232558139,"core","70+ NL White",NA
06073017113,"Census Tract 171.13; San Diego County; California","Census Tract 171.13","San Diego"," California","B03002_012",1586,546,"B03002_003",2814,1080,"B03002_001",5590,1128,28.3720930232558,50.3398926654741,"core","Other",NA
06073017201,"Census Tract 172.01; San Diego County; California","Census Tract 172.01","San Diego"," California","B03002_012",163,117,"B03002_003",1728,372,"B03002_001",2207,292,7.38559130040779,78.2963298595378,"core","70+ NL White",NA
06073017202,"Census Tract 172.02; San Diego County; California","Census Tract 172.02","San Diego"," California","B03002_012",205,199,"B03002_003",1431,322,"B03002_001",1730,291,11.849710982659,82.7167630057804,"core","70+ NL White",NA
06073017303,"Census Tract 173.03; San Diego County; California","Census Tract 173.03","San Diego"," California","B03002_012",182,108,"B03002_003",2226,384,"B03002_001",3466,711,5.25100980957877,64.2238892094634,"core","Other",NA
06073017305,"Census Tract 173.05; San Diego County; California","Census Tract 173.05","San Diego"," California","B03002_012",128,79,"B03002_003",2584,426,"B03002_001",3016,474,4.24403183023873,85.6763925729443,"core","70+ NL White",NA
06073017306,"Census Tract 173.06; San Diego County; California","Census Tract 173.06","San Diego"," California","B03002_012",177,142,"B03002_003",2061,310,"B03002_001",2427,300,7.2929542645241,84.9196538936959,"core","70+ NL White",NA
06073017307,"Census Tract 173.07; San Diego County; California","Census Tract 173.07","San Diego"," California","B03002_012",374,307,"B03002_003",1770,314,"B03002_001",2303,392,16.2396873643074,76.8562744246635,"core","70+ NL White",NA
06073017308,"Census Tract 173.08; San Diego County; California","Census Tract 173.08","San Diego"," California","B03002_012",1117,510,"B03002_003",1453,303,"B03002_001",2658,485,42.0240782543266,54.6651617757713,"core","Other",NA
06073017403,"Census Tract 174.03; San Diego County; California","Census Tract 174.03","San Diego"," California","B03002_012",440,94,"B03002_003",3496,400,"B03002_001",4455,369,9.87654320987654,78.4736251402918,"core","70+ NL White",NA
06073017405,"Census Tract 174.05; San Diego County; California","Census Tract 174.05","San Diego"," California","B03002_012",1785,1807,"B03002_003",2271,369,"B03002_001",4371,1770,40.8373369938229,51.9560741249142,"core","Other",NA
06073017406,"Census Tract 174.06; San Diego County; California","Census Tract 174.06","San Diego"," California","B03002_012",195,110,"B03002_003",2537,353,"B03002_001",2950,402,6.61016949152542,86,"core","70+ NL White",NA
06073017407,"Census Tract 174.07; San Diego County; California","Census Tract 174.07","San Diego"," California","B03002_012",388,173,"B03002_003",2676,490,"B03002_001",3361,499,11.5441832787861,79.6191609639988,"core","70+ NL White",NA
